"ID","Name","Alternate Names"
"101910402","Who Would Win?",""
"101716","Yo Dawg Heard You","Xzibit, Yo dawg we heard you like Y so we put some X in your X so you can Y while you Y"
"175540452","Unsettled Tom","tom face, concerned tom, tom and jerry, disgusted tom, surprised tom, tom staring down"
"61581","Put It Somewhere Else Patrick","patrick from spongebob"
"109765","I'll Just Wait Here","waiting skeleton"
"196652226","Spongebob Ight Imma Head Out","Ight Imma Head Out, aight imma head out, spongebob aight, alright I'm out, spongebob getting out of chair"
"56225174","Be Like Bill","bill the stick figure with a hat"
"217743513","UNO Draw 25 Cards","do something you don’t like or draw 25 cards, uno dilemma, uno or draw 25, draw 25"
"135256802","Epic Handshake","arm wrestling, holding hands, grasping hands, epic hand shake, black white arms agreement"
"12403754","Bad Pun Dog","joke dog, whisper joke dog, happy husky, joke telling husky, pun husky"
"132769734","Hard To Swallow Pills","hard pills to swallow"
"195389","Sparta Leonidas","Leonidas from the movie 300"
"135678846","Who Killed Hannibal","Eric Andre shooting Hannibal Buress, why would they do this"
"100955","Confession Bear",""
"766986","Aaaaand Its Gone","and it's gone, south park banker guy"
"718432","Back In My Day","grumpy old man pointing"
"21604248","Mugatu So Hot Right Now","Mugatu from Zoolander, Will Farrell"
"444501","Maury Lie Detector","The lie detector determined that was a lie. The fact that you X determined that was a lie. Maury Povich."
"222403160","Bernie I Am Once Again Asking For Your Support","bernie sanders commercial, bernie sanders 2020 campaign, asking for your financial support, once again bernie"
"61583","Conspiracy Keanu",""
"124212","Say That Again I Dare You","Samuel L Jackson, pulp fiction"
"13757816","Awkward Moment Sealion","awkward seal, uncomfortable situation sealion, heavy breathing sealion"
"143601","Steve Harvey",""
"3218037","This Is Where I'd Put My Trophy If I Had One",""
"163573","Imagination Spongebob","spongebob rainbow, nobody cares"
"442575","Ain't Nobody Got Time For That",""
"1790995","And everybody loses their minds","Heath Ledger Joker from The Dark Knight"
"460541","Jack Sparrow Being Chased","pirates of the caribbean"
"101711","Skeptical Baby",""
"6531067","See Nobody Cares","Jurassic Park Dennis"
"80707627","Sad Pablo Escobar","pablo escobar waiting, man waiting, waiting man, lonely man, narcos waiting, narcos bored, narcos alone"
"10628640","Archer","Do you want X? Because that's how you get X. Do you want ants? Because that's how you get ants."
"29617627","Look At Me","I'm the captain now, captain phillips"
"1367068","I Should Buy A Boat Cat","sophisticated cat, fancy cat, newspaper cat"
"89655","Uncle Sam","USA, murica"
"184801100","Me And The Boys","Old Spider-Man Villains, 60's spiderman villains, Rhino Vulture Electro and Green Goblin, me and the bois"
"61522","Scumbag Steve",""
